full_text;Location;Sentimen
Uda Tomi dan Uda Andika ini harusnya diangkat jadi PNS Basarnas sih... Jalur : keikhlasan keberanian keteguhan hati. *nonton lagi kisah SAR korban erupsi Marapi 2023 https://t.co/kKAjLQH9Dw;Sumatera Barat, Indonesia;Negatif
aku belum pernah nanjak terhalang restu orang tua. apalagi belum lama ini gunung marapi erupsi makan korban yg lagi nanjak;Sumatera Barat, Indonesia;Negatif
Kucing emas korban jerat kini bebas. Namun mengapa hewan langka ini jauh dari habitat aslinya? Erupsi Gunung Marapi diduga jadi penyebabnya. Dilepas di kawasan berbeda akankah kucing ini mampu beradaptasi? https://t.co/cg8j34afzZ https://t.co/h5jjWAEEjk;Sumatera Barat, Indonesia;Negatif
Pas banget pertama turun ke payakumbuh itu kita sebelumnya rencanain di tanggal setelah marapi meletus jadi sempet chaos karena aku susah dapet izin ortu untuk pergi naik motor ke pyk + erupsi marapi (akhirnya dibolehin);Payakumbuh, Sumatera Barat;Negatif
Hal yang paling aku takutkan saat ini apalagi temenku sendiri jadi korban di erupsi Marapi tahun lalu. Semoga selalu diberi keselamatan untuk kita semua ;Jakarta, Indonesia;Negatif
Itu gunung mau meletus nggak mungkin bilang gunung Marapi mau erupsi nggak permisi dulu erupsi aja dadakan makanya sampai jatuh korban.;Kebumen, Jawa Tengah;Negatif
Haru.. orang tua korban Erupsi Marapi wakili bukber bawa foto mendiang sang anak https://t.co/jlrty6rxYC;Jakarta, Indonesia;Negatif
PTSP dan BNI Salurkan Bantuan untuk Korban Erupsi Gunung Marapi - https://t.co/K5Xbcw8aU7 #infokoranpadang;Padang, Sumatera Barat;Positif
Bupati Tanah Datar Terima Bantuan untuk Korban Erupsi Gunung Marapi dari PT Semen Padang dan BNI https://t.co/VbGHHoe2PS;Padang, Sumatera Barat;Positif
Sepanjang Maret 2024 Gunung Marapi 77 Kali Meletus via @infosumbar https://t.co/axCGwF3b2u #infosumbar #Erupsi #GunungMarapi;Padang, Sumatera Barat;Negatif
3 Rekannya Jadi Korban Erupsi Marapi Momen Buka Puasa Bersama Alumni SMA Ini Penuh Haru https://t.co/GOLFapTfmV;Jakarta, Indonesia;Negatif
Erupsi deh ini bukan meletus. Karena beberapa bulan terakhir Marapi emang aktif dan terus terusan erupsi;Sumatera Barat, Indonesia;Negatif
@5teV3n_Pe9eL Yang masih jadi tanda tanya buat saya.. ketika letusan pertama yang menelan korban banyak pendaki. Apakah tidak peringatan dari petugas PVMBG yang Awasi Gunung Marapi. Bahwa kondisi Marapi meningkat.. kan biasanya gunung itu akan terlihat ta;Sumatera Barat, Indonesia;Negatif
Gunung Marapi Sumbar Kembali Meletus Dibarengi Dengan Dentuman Kuat dan Besar Erupsi hingga 1.500 Meter https://t.co/IIyFXTjxkj;Pekanbaru, Riau;Negatif
Gunung Marapi Sumbar Meletus Besar Tadi Malam: https://t.co/fvfXioYa49 - Gunung Marapi di Sumatera Barat (Sumbar) kembali erupsi malam ini. Dilaporkan dentumannya terdengar keras. Pos Pengamatan Gunung Api (PGA) Marapi mengatakan letusan terjadi sekitar https://t.co/FvK0xaSe2c https://t.co/mFefpTUbAp;Pekanbaru, Riau;Negatif
...Ini Prabowo pas erupsi Marapi di Sumbar langsung gercep ngunjungin. Sekarang banjir+longsor di Sumbar banyak makan korban jiwa gak ada gelagat mau berkunjung? Apa karna udah bukan masa kampanye jadi gak perlu lagi eksploitasi isu kemanusiaan? (`` );Jakarta, Indonesia;Negatif
Sebulan pasca erupsi perdana Gunung Marapi yang setelahnya Marapi tidak berhenti erupsi hingga hari ini. Selama empat hari setelah erupsi Tim Gabungan berjibaku untuk menyelamatkan korban pendaki yang terjebak di area sekitar cadas dan puncak.;Pekanbaru, Riau;Negatif
Kembali Erupsi Gunung Marapi Sumbar Tercatat Sudah Meletus 113 kali https://t.co/2KS534NiRf;Sumatera Barat, Indonesia;Negatif
Marapi pagi ini.Obrolan dgn kawan kemaren sore saat perjalanan PP Bukittinggi-Batusangkar dalam rangka takziah ke kampung bos kami bahwa saat ini yg erupsi baru dibagian anak kawah bukan kawah utama (kawah tuo).Gak kebayang jika kawah tuo yg meletus akan seperti apa wilayah sktar https://t.co/2FkRaTSnws;Bukittinggi, Indonesia;Negatif
masih tengiang2 lagu ini masih sedih nonton podcast korban erupsi marapi https://t.co/GLJrtfLYe6;Kalimantan Timur, Indonesia;Negatif
Meletusnya erupsi gunung marapi beberapa saat yang lalu meninggalkan duka mendalam bagi para korban yang merasakan. Bahkan beberapa pendaki yang saat itu tengah mendaki di gunung marapi sebagian dinyatakan meninggal dunia.;Depok, Indonesia;Negatif
Padang 19 Desember 2023 - Zhafirah Zahrim Febrina seorang korban erupsi Gunung Marapi di Sumatera Barat telah menghembuskan nafas terakhirnya pada Minggu (17/12) sore.;Padang, Sumatera Barat;Negatif
@andori Brrti memang udah tepat ya perkiraan jepang tuh pas erupsi Marapi mereka udah siaga gempa dan tsunami Sedangkan rakyat sumbar semua sibuk live gunung marapi;Jakarta, Indonesia;Positif
[MAMITA OF THE MONTH: DESEMBER] Halo Geografi! Pada bulan Desember ini banyak sudah terjadi nih! Mulai dari Erupsi Gunung Marapi di Sumatera Barat hingga Gunung Api di Islandia Meletus. Selengkapnya bisa diakses pada tautan di bawah ini https://t.co/Q3v1u6Jtsr https://t.co/jDr1BZZ6kl;Depok, Indonesia;Negatif
ini kmren agak kaget sih pas tau ternyata alat detektor kek gini beneran ada yg nyuri :') pas marapi kmren tu ko bisa gk ada peringatan apapun sebelum meletus sampe masi banyak yg naik gunung pdhl harusnya klo ada tanda2 erupsi kan jalur pendakian ditutup ;Jawa Barat, Indonesia;Negatif
Menhan Prabowo sampaikan belasungkawa pada korban erupsi Marapi - ANTARA https://t.co/CePFGxmDuw #MenangSeputaran;Jakarta, Indonesia;Negatif
nangis sumpah liat podcast korban yg selamat dari erupsi marapi;Jawa Barat, Indonesia;Negatif
Erupsi gunung marapi td pagi pukul 06.03 semoga warga sekitar gn.marapi selalu dlm lindungan Allah SWT dan tidak ada lg korban jiwa aamiin https://t.co/p4n2q5rWn0;Jawa Barat, Indonesia;Negatif
 kisah heroik irvanda korban Marapi pdhl ia salah satu korban jg tp dia bantu temen2nya saat erupsi kemarin berlangsung salut bgt gw pas nntn! https://t.co/d0bnkTPvA9;Sumatera Barat, Indonesia;Positif
Fyp ku podcast dan video2 korban erupsi gunung marapi jadi ngerasa nyesss banget;Jawa Barat, Indonesia;Negatif
https://t.co/7NQV3noKL3 *** Sebanyak 38 mahasiswa Politeknik Negeri Padang (PNP) mendapatkan penghargaan khusus. Penghargaan itu diberikan berkat jasa mereka yang ikut terjun di dalam proses evakuasi korban erupsi Marapi 3 Desember 2023 silam.;Pekanbaru, Riau;Positif
semalem abis baca thread ini langsung ke ytb nya respect buat uda irvanda sampe skrg msih penasaran dan nyelem satu satu ke semua berita tentang korban erupsi marapi ini kejadian ini bener bener punya banyak pelajaran buat semuanya al fatihah untuk semua korban ;Bali, Indonesia;Positif
ya tuhan merinding bgt dengerin podcastnya irvanda korban selamat erupsi marapi ga kebayang ;Jawa Barat, Indonesia;Positif
nyesek bgt setiap liat korban erupsi marapi sampe gabisa tidur semoga Husnul Khotimah untuk para korban;Jakarta, Indonesia;Negatif
Kami mengira-ngira andai benar erupsi maka hal tersebut menjadikan tahun ini begitu aneh bisa juga spektakuler bagi Sumatera Barat. Gunung Marapi meletus dengan dahsyat pada 3 Desember 2023 dan letusannya freatik alias tanpa tanda-tanda.;Pekanbaru, Riau;Negatif
Udah nonton diyt irvanda bner2 keren parah gue yg cuma dgr dia crita aja nangis semoga mkin bnyk manusia kaya irvanda dan semoga korban erupsi marapi diterima semua amal ibadah nya.;Jawa Barat, Indonesia;Positif
Semoga Perjuangan Warga Batu Palano yang membantu proses evakuasi korban erupsi Marapi Menjadi Ladang Amal Ibadah. Penyerahan penghargaan kepada @tommy.hidayat23 dkk Relawan Evakuasi Korban Erupsi Marapi yang tidak sempat hadir pada kegiatan Senin 18 Desember 2023. https://t.co/qCuKYPlTY2;Bukittinggi, Indonesia;Positif
Fyp Tiktokku awalnya Kucing Korban erupsi G. Marapi Sumbar Saranjana Diambang kematian Siksa Neraka Kok...;Lumajang, Indonesia;Negatif
Gunung Marapi di Sumatera Barat kembali mengalami erupsi dengan asap letusan cukup besar. Erupsi terjadi pada jam 12.19 WIB Jumat (22/12) siang. Ini menjadi letusan hari ke-20 setelah erupsi pertama kali pada Minggu (3/12) lalu yang mengakibatkan 24 korban tewas. #MorningVoice;Jakarta, Indonesia;Negatif
Slamat Jalan IFE ... Semoga kami bisa memetik pelajaran dari insiden erupsi Marapi yg hingga hari ini masih meletus ... https://t.co/QCpZb1NvGU;Sumatera Barat, Indonesia;Negatif
semalem mimpi aku ngeri bgt gunung marapi meletus dan ini guncangannya dahsyat trs lava nya ampe kerumahkaki ku kena tapaknya melepuh akhirnya lari pke motor. n guess wht? in riil lyfe tu gunung marapi hari ini erupsi innalillahi;Bukittinggi, Indonesia;Negatif
Zhafirah Zahrim Febrina Korban Selamat Dari Erupsi Gunung Marapi Dinyatakan Meninggal Dunia #VeronaPictures #ZhafirahZahrimFebrina #ErupsiGunungMarapi #GunungMarapi #ZhafirahMeninggalDunia #Viral https://t.co/zM4K9sn9VS;Jakarta, Indonesia;Negatif
Haru dan Bahagia di Momen Wisuda Siska dan Frengki 2 Korban Jiwa Erupsi Marapi Via: https://t.co/3icIzW8NYK #NOTD;Yogyakarta, Indonesia;Negatif
Salah satu korban Erupsi Gunung Marapi Telah MD setelah sempat di rawat selama 13 hari di Rumah sakit RSUP MDJAMIL #innalillahiwainnalillahirajiun #rip #ife #marapi #beritaminang #kabarmarapi #storyminang #tribunlotto21group #fyp https://t.co/1OYWByBzRg;Bandung, Jawa Barat;Negatif
Para orang tua korban tewas erupsi Gunung Marapi menggantikan peran anaknya yang menjadi wisudawan di Universitas Negeri Padang (UNP). https://t.co/ysCLnWwjuY;Banten, Indonesia;Negatif
VIDEO: Momen Haru Orang Tua Korban Tewas Erupsi Marapi Hadiri Wisuda https://t.co/097pc5Nk8a;Jakarta, Indonesia;Negatif
ISAK TANGIS IRINGI WISUDA - Korban Erupsi Marapi - Universitas Negeri Padang (UNP). https://t.co/iE4bK8CpMb;Sumatera Barat, Indonesia;Negatif
Zhafirah Ife Korban Erupsi Marapi yang Viral Meninggal Dunia. Selamat jalan Ife https://t.co/wjLxm63Iin;Jakarta, Indonesia;Negatif
Zhafirah Zahrim Febrina yang akrab disapa Ife meninggal dunia pada Minggu (17/12) sore usai dirawat selama 13 hari di rumah sakit. Ia adalah salah satu pendaki yang menjadi korban dampak erupsi Gunung Marapi pada 3 Desember 2023 lalu. https://t.co/FKh9ktFKI2;Jakarta, Indonesia;Negatif
Baru berani nontonin berita korban erupsi di marapi.;Jawa Barat, Indonesia;Negatif
Kisah Frengki Chandra Korban Erupsi Gunung Marapi yang Jenazahnya Berbau Harum Ternyata Penghafal Quran https://t.co/UpJuQbMcfL #FrengkiChandraKusuma #berbauharum #penghafalQuran #GunungMarapi;Sumatera Barat, Indonesia;Positif
Lepas Jenazah Zhafirah Korban Erupsi Marapi Hendri Septa: Kita Doakan Almarhumah Husnul Khotimah - https://t.co/HlmFa7dtNh;Padang, Sumatera Barat;Negatif
Suasana Haru Wisuda Korban Erupsi Gunung Marapi ANTARA FOTO #TempoFoto https://t.co/ArcFc1xmq1;Jakarta, Indonesia;Negatif
Pendaki Wanita Korban Erupsi Gunung Marapi Zhafirah Zahrim Febrina Meninggal Dunia https://t.co/836u5rW7kd;Cianjur, Indonesia;Negatif
Salah satu korban erupsi Gunung Marapi Zhafirah Zahrim Febrina atau yang dikenal Ife kini dinyatakan meninggal dunia setelah berjuang selama 13 hari dirawat di Rumah Sakit Simak Selengkapnya Disini https://t.co/zIb0Uk5mvU https://t.co/i85HjyvW3M;Sumatera Barat, Indonesia;Negatif
Jenazah ZhafirahÃÂ ZahrimÃÂ Febrina atau Ife (19) yang merupakan korban erupsi Gunung Marapi dimakamkan di Tempat Pemakaman Umum (TPU) Tunggul Hitam Koto Tangah Terlihat jenazah Ife dibawa ke TPUÃÂ TunggulÃÂ Hitam dengan menggunakan mobil ambulans yang diiringi oleh pihak keluarganya. https://t.co/0mIewaPWkD;Sumatera Barat, Indonesia;Negatif
Pesan Haru Ayah Mahasiswa UNP Korban Erupsi Gunung Marapi https://t.co/bcejUjYXdi;Yogyakarta, Indonesia;Negatif
Aku abis nangis liat video korban erupsi marapi yg barusab kemarin meninggal sholat jenazahnya yg ngimamin adek cowoknya mamanya udh meninggal jg jd tinggal berdua sama bapaknyasedih bgt;Jawa Barat, Indonesia;Negatif
Dua minggu di RS korban erupsi marapi meninggal. https://t.co/ns6OyEQSsE https://t.co/p9R0lLa4w4;Sumatera Barat, Indonesia;Negatif
Viral Ife Korban Erupsi Gunung Marapi Meninggal Dunia Usai Dirawat Selama 13 Hari di Rumah Sakit Warganet Banjiri Ucapan Belasungkawa https://t.co/h5PlsPqH7Y;Lumajang, Indonesia;Negatif
